customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0001,Male,0,No,No,71,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),118.75,8592.02377210636,No
C0002,Female,1,Yes,No,72,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,83.19,6029.319909858486,No
C0003,Female,0,Yes,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.42,311.82224422470165,Yes
C0004,Female,0,No,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),58.4,1486.1376067261965,No
C0005,Male,0,No,No,44,No,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,80.12,3277.0105030651,No
C0006,Male,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,40.3,176.17660076114015,No
C0007,Male,0,Yes,Yes,4,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.58,226.46660717689622,Yes
C0008,Female,1,No,No,1,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,104.47,104.47276631963807,Yes
C0009,Female,0,No,No,12,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,81.21,1069.408879197069,No
C0010,Female,1,No,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,48.95,2716.3233634804046,Yes
C0011,Male,0,No,Yes,55,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),109.37,6317.534451424504,No
C0012,Female,0,No,No,3,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,32.5,301.81826568701234,No
C0013,Female,0,No,Yes,5,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,75.21,334.39694778577865,No
C0014,Male,0,No,Yes,12,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),18.25,187.67999959485383,No
C0015,Male,0,No,No,36,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),29.94,1121.7455150680394,No
C0016,Male,1,No,No,22,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),43.5,1046.4849728264917,No
C0017,Male,1,Yes,No,17,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),84.31,1686.9047708590765,Yes
C0018,Female,1,Yes,No,21,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,77.05,1296.739724126764,No
C0019,Male,0,No,No,2,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),60.07,115.56034899370295,No
C0020,Male,0,Yes,No,15,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,96.17,1493.8169985540148,Yes
C0021,Female,0,No,Yes,72,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),66.31,4814.899774732028,No
C0022,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,91.84,91.8446484544641,No
C0023,Male,0,No,No,17,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),102.62,1935.2987794554792,Yes
C0024,Male,0,Yes,No,8,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),43.72,342.1257290011206,Yes
C0025,Male,0,No,No,18,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,45.33,660.2070094237932,No
C0026,Female,0,No,Yes,20,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),18.25,193.72462558207815,No
C0027,Male,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),63.72,1022.9076603398061,No
C0028,Female,0,No,No,45,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Electronic check,108.19,4650.669729146504,No
C0029,Female,0,Yes,No,11,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,77.62,725.6650884446972,No
C0030,Male,0,Yes,No,17,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.19,1266.9188937831238,No
C0031,Female,0,Yes,Yes,1,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),95.15,95.15226074500319,Yes
C0032,Male,0,Yes,Yes,37,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,112.11,4300.599919670189,No
C0033,Male,0,No,Yes,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,80.52,209.5045745200611,Yes
C0034,Female,0,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),86.06,3339.2951479591197,No
C0035,Female,0,No,Yes,7,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,64.06,436.5096287153383,Yes
C0036,Female,0,Yes,No,1,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Mailed check,76.49,76.49396495586105,No
C0037,Male,0,No,No,4,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,94.47,708.2373697724975,Yes
C0038,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,49.63,3661.2709443932663,No
C0039,Female,0,No,Yes,9,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),64.04,309.4789465234675,No
C0040,Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,46.79,130.0326557268961,Yes
C0041,Male,0,No,No,3,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Electronic check,85.48,85.47948314554006,Yes
C0042,Male,0,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),61.36,731.9235474588271,No
C0043,Male,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,76.48,76.48004398997617,No
C0044,Female,0,Yes,Yes,17,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),18.25,202.8612946487675,No
C0045,Male,0,Yes,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.66,120.57585519902754,Yes
C0046,Female,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),90.39,1256.2659584075,No
C0047,Male,0,Yes,No,3,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),40.04,312.15260610238863,No
C0048,Female,0,Yes,Yes,13,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,35.54,694.7714332622713,No
C0049,Female,1,No,No,21,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),38.93,681.1682749354843,No
C0050,Male,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,71.01,71.00650023547036,Yes
C0051,Female,0,Yes,No,12,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),50.77,402.4701402630385,Yes
C0052,Female,0,Yes,Yes,8,No,No phone service,DSL,No,No,No,No,No,No,Two year,No,Electronic check,51.75,501.1266108433811,Yes
C0053,Female,0,No,No,6,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,45.82,211.74447757737556,No
C0054,Female,0,No,Yes,22,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),87.13,1650.059978760744,No
C0055,Female,0,Yes,Yes,21,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,No,Electronic check,52.19,1485.179806333197,No
C0056,Female,0,No,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,55.3,1591.1726346939886,No
C0057,Male,1,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,41.77,550.6010065298642,No
C0058,Male,0,Yes,No,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),78.0,285.08869320332724,Yes
C0059,Male,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,117.81,792.8105002960748,Yes
C0060,Male,1,No,No,18,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,83.24,1550.2003011793865,Yes
C0061,Male,0,No,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),83.35,1238.3246152157476,No
C0062,Male,0,Yes,No,9,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,94.33,565.9603965456979,No
C0063,Female,0,Yes,No,37,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,52.05,1712.4118395697517,No
C0064,Male,0,Yes,No,2,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),60.12,60.117856322035664,No
C0065,Male,0,No,No,72,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),18.25,1303.3537734260417,Yes
C0066,Female,1,No,No,2,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,80.26,80.25534168983717,No
C0067,Male,0,Yes,Yes,35,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),64.94,2254.538373853784,No
C0068,Female,0,Yes,No,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,46.11,402.3025940653465,No
C0069,Male,1,No,No,48,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),70.29,3189.1722832942405,Yes
C0070,Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,118.75,155.83198247093833,No
C0071,Female,0,No,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,66.28,740.326004536342,No
C0072,Male,0,No,Yes,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,70.93,637.177973504331,No
C0073,Male,1,No,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),118.75,8711.350931464647,Yes
C0074,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,100.28,7171.778754944387,No
C0075,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),91.74,470.0381363355033,No
C0076,Female,0,Yes,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),118.75,2743.0114117233065,Yes
C0077,Female,0,No,Yes,18,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),38.62,283.90266432664083,No
C0078,Male,1,Yes,No,4,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,118.75,632.7228614580076,Yes
C0079,Male,0,Yes,No,4,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),95.09,256.30391425880816,Yes
C0080,Male,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,102.56,7484.688137648946,No
C0081,Female,1,Yes,Yes,14,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,85.0,1213.5600818438472,Yes
C0082,Female,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,40.79,40.78523250921051,No
C0083,Male,0,Yes,No,5,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,18.25,185.52165717254059,Yes
C0084,Male,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),76.92,296.7277524092425,Yes
C0085,Male,0,No,No,17,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),47.1,816.3793423035755,Yes
C0086,Male,0,Yes,No,9,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,43.69,312.3253351717259,Yes
C0087,Female,1,No,Yes,14,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,52.65,909.4880904895929,No
C0088,Female,0,No,No,4,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),18.25,283.247193221256,Yes
C0089,Female,0,No,No,9,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,34.75,277.27396101727686,Yes
C0090,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),20.0,20.00263036209231,Yes
C0091,Male,0,Yes,No,52,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),28.63,1149.9124147349476,No
C0092,Female,0,No,No,5,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,40.63,88.5686101649534,No
C0093,Female,0,Yes,No,33,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),60.53,1932.204292599169,Yes
C0094,Female,1,Yes,No,10,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),80.2,674.2578452427509,Yes
C0095,Female,0,Yes,No,15,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),118.75,1869.890116864102,No
C0096,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.15,169.98592545427397,No
C0097,Female,0,No,No,28,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),100.05,2890.533347422073,No
C0098,Male,1,Yes,No,44,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,53.61,2054.7358412969465,Yes
C0099,Male,0,No,Yes,8,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),18.25,177.93697685453103,No
C0100,Male,0,Yes,Yes,6,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,35.84,122.0877240696519,Yes
C0101,Male,0,Yes,No,27,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,87.09,2473.7973885623223,No
C0102,Female,1,No,No,5,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),68.73,449.2490244226947,No
C0103,Male,0,Yes,Yes,24,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,18.25,433.4787503725277,No
C0104,Female,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.44,239.56522236301856,Yes
C0105,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,32.18,65.06767055546993,No
C0106,Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,47.81,1001.6234781053001,No
C0107,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.91,283.20424953023894,No
C0108,Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,67.46,1950.3067736202242,No
C0109,Male,0,Yes,Yes,14,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,84.57,905.8314401105417,Yes
C0110,Male,1,Yes,No,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.22,191.77685791954295,No
C0111,Male,1,Yes,No,10,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,94.55,708.6769825662933,No
C0112,Male,0,No,No,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,78.08,1429.8640636180935,No
C0113,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),71.46,73.5279925985718,No
C0114,Female,0,No,Yes,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,53.58,3891.4641061536536,No
C0115,Female,0,Yes,No,26,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),42.75,1177.0296743151875,No
C0116,Female,0,No,No,2,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.14,319.8324237397106,Yes
C0117,Female,0,No,No,41,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),47.64,1770.8126168859287,Yes
C0118,Male,0,No,No,9,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),117.63,933.3117906104268,Yes
C0119,Female,0,No,Yes,21,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,94.1,1890.3723319817,No
C0120,Female,0,No,Yes,7,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,97.39,867.5751650523841,Yes
C0121,Female,0,Yes,Yes,31,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),43.45,1351.6434169202075,No
